tenure,deposit,turnover,withdrawal,deposit_next
10,762.27,1677.18,1476.24,2815.66
1473,69.99,279.16,0,0
297,34.35,81.99,0,0
3829,4347.15,41290.29,0,0
1258,3593.85,13883.59,8825.21,0
3712,1477.73,8626.69,1313.27,0
0,232.01,497.43,0,0
7397,353.87,1584.86,0,0
5141,3168.55,13524.19,3050.62,949.48
606,57.68,254.01,0,0
1280,952.96,2965.66,346.37,0
2892,29134.42,174164.21,29158.78,0
4600,337.4,2930.65,0,0
0,23.47,0,0,0
1521,22.96,30.05,0,0
3362,1673.8,8605.21,1482.37,1782.6
1533,510.64,5299.79,0,0
2196,5607.54,18169.84,5092.37,45.8
470,2453.78,19358.57,1713.5,0
219,94.11,588.19,0,0
5457,82769.25,718470.11,60542.49,348.49
229,1308.7,3032.64,2700.57,0
0,55.95,513.68,86.84,160.39
927,5968.31,28701.01,5510.02,176.31
73,22.78,169.04,0,0
5158,350.77,527.16,491.62,115.56
7813,3747.37,11775.27,0,0
2626,424.48,1716.48,0,0
1441,8555.1,37085.46,7171.73,395.59
1658,94.46,414.45,0,0
187,4310.34,18621.07,8837.27,391.72
348,1958.94,13920.8,898.49,0
1755,757.77,2387.87,937.84,0
2174,661.43,1312.2,569.01,0
299,8164.75,40504.69,0,0
73,23.07,37.94,0,0
22,1182.22,7216.26,460.65,0
0,116.5,1027.52,0,0
4009,4582.79,27954.33,4373.57,797
1952,1757.85,12955.92,1605.43,0
6555,15134.81,22138.59,7083.58,700.23
5,2766.13,1380.39,0,0
6431,2535.13,38297.23,0,0
3946,651.28,2770.73,0,0
85,156.19,615.25,88.8,516.96
2631,45888.62,333342.32,39289.78,209.39
3819,5486.5,54292.81,4858,0
1095,22.51,62.7,0,0
4206,1435.07,6285.3,183.01,0
7039,64.16,33.7,0,0
73,34.68,59.65,0,111.94
954,2905.98,6202.8,1675.64,1064.26
424,162.84,512.84,0,0
6158,6805.71,7587.69,3753.07,187.93
1268,19194.76,165889.39,12375.51,1058.21
6358,5701.82,29867.65,0,2645.28
375,1915.12,3299.88,0,0
1572,12622.99,212432.25,1390.75,0
134,2919.07,21836.06,1011.04,383.9
455,475.42,3731.77,179.69,0
5764,7004.11,21173.61,7402.03,0
5143,3135.28,14383.4,1134.17,0
4871,51841.91,625540.4,10235.65,0
1025,756.7,1199.02,703.83,0
4588,51617.27,408793.88,27076.45,575.06
0,1095.67,13835.61,0,2431.63
73,35.13,52.69,0,0
2256,29438.6,114085.06,19782.2,69.3
4333,13506.35,56247.62,5338.66,1157.83
1580,22275.85,123290.53,8704.26,0
17,433.43,1509.78,362.25,528.62
752,3030.06,6236.15,5435.98,723.34
316,22566.43,238333.87,8817.4,1184.75
92,161.35,309.68,0,0
4666,7570.11,37923.4,3305.93,276.07
0,22.98,22.98,0,0
2337,268.01,440.14,247.24,0
5214,82971.51,223713.24,70576.53,1889.5
3449,851.95,15466.9,1207.11,0
73,23.42,60.42,0,0
3673,659.16,3465.7,499.28,0
73,137.95,367.4,0,0
1443,19822.49,156698.57,13054.46,0
1378,705.84,1927.39,0,0
1784,442.91,1213.91,0,0
73,23.72,44.12,0,0
224,45.02,45.02,0,0
5102,3516.01,51336.88,2511.07,0
932,3505.34,8442.58,4781.15,0
2264,168.52,235.45,0,0
1743,1927.05,9089.23,3203.1,0
579,10055.34,73630.19,5305.91,3523.99
940,677.94,4343.92,657.15,0
73,23.41,15.92,81.99,0
78,47.87,259.77,0,0
2142,1429.19,7072.41,588.76,0
1706,71.15,88.69,0,0
6041,211.09,475.24,282.84,0
1847,94,1871.27,374.05,0
6609,2515.43,7519.5,1026.75,45.82
1964,2070.91,19948.68,3751.37,0
73,23.45,42.22,0,0
7220,29660.99,207996.06,16933.01,2210.56
3680,114,178.75,0,0
823,161.27,533.85,0,0
7731,31962.92,81981.43,32964.9,261.17
3695,32262.66,193988,25600.49,2615.77
460,3123.05,16187.75,2678.53,1116.04
5,112.1,112.1,112.1,0
0,549.17,596.04,0,0
730,1938.86,3834.99,1033.97,0
219,46.83,14.99,58.54,0
1546,235.69,926.91,138.75,0
229,94.36,108.58,0,0
2531,293.61,401.2,162.63,93.7
4676,593616.7,6067493.17,346528.71,2137.61
22,696.54,4262.1,0,0
1592,115.88,251.46,0,0
2999,708.02,3972.88,541.78,204.45
5082,3594.53,9232.48,1226.93,0
5557,299.31,0,0,0
219,23.71,118.54,0,0
80,143.47,95.65,0,0
0,35.85,0,0,35.55
4362,44085.12,700531.85,9628.6,220.45
3011,5491.93,37583.24,5820.19,0
7237,157441.43,896955.52,140901.87,7075.83
3396,16973.76,77314.57,13324.15,3537.53
1351,216660.74,1024477.44,214179.69,0
6256,9707.55,64597.3,6398.82,0
769,818.21,4775.83,674.79,71.23
260,5822.28,36114.76,12137.19,934
7821,120844.17,524851.14,74281.23,0
7183,13575.37,32537.74,4831.97,0
4445,81.43,117.72,0,0
219,92.23,287.76,0,0
7,138.61,149.61,0,0
940,416.55,1435.58,381.83,96.05
6419,29132.58,86383.45,23109.56,0
2673,165.55,872.23,138.18,96.19
0,35.51,54.75,0,0
0,23.26,60,69.77,46.55
3415,2926.88,8253.9,0,0
2502,35.23,75.16,0,0
219,22.9,139.69,0,0
2551,48.05,149.87,405.01,24.23
6292,187648.6,477730.02,137421.31,162.88
5272,5378.44,28059.45,3173.5,192
73,193.34,3161.37,0,0
1811,402.77,2967.93,355.23,0
1680,248.86,1044.28,474.53,0
2142,46598.16,122128.7,37305.61,1276.04
2,158.3,2448.89,45.3,68.58
4542,874.71,3488.69,880.99,0
222,2751.36,2760.96,7348.86,0
6217,1308.44,5031.22,0,0
372,879.11,3159.79,590.04,317.95
2186,1315.19,5055.4,1010.3,0
1426,231.27,527.06,164.55,0
2894,25047.32,249811.8,17019.55,0
2977,39832.63,256749.93,34039.45,511.85
587,1463.25,6004.45,1484.05,1892.45
